Source: https://www.ossila.com/pages/sheet-resistance-theory
width_probe_spacing	length_width	correction_factor
1.0	1	
1.0	2	
1.0	3	0.2204
1.0	4	0.2205
1.25	1	
1.25	2	
1.25	3	0.2751
1.25	4	0.2751
1.5	1	
1.5	2	0.3263
1.5	3	0.3286
1.5	4	0.3286
1.75	1	
1.75	2	0.3794
1.75	3	0.3803
1.75	4	0.3803
2.0	1	
2.0	2	0.4292
2.0	3	0.4297
2.0	4	0.4297
2.5	1	
2.5	2	0.5192
2.5	3	0.5194
2.5	4	0.5194
3.0	1	0.5422
3.0	2	0.5957
3.0	3	0.5958
3.0	4	0.5958
4.0	1	0.687
4.0	2	0.7115
4.0	3	0.7115
4.0	4	0.7115
5.0	1	0.7744
5.0	2	0.7887
5.0	3	0.7887
5.0	4	0.7887
7.5	1	0.8846
7.5	2	0.8905
7.5	3	0.8905
7.5	4	0.8905
10.0	1	0.9313
10.0	2	0.9345
10.0	3	0.9345
10.0	4	0.9345
15.0	1	0.9682
15.0	2	0.9696
15.0	3	0.9696
15.0	4	0.9696
20.0	1	0.9822
20.0	2	0.983
20.0	3	0.983
20.0	4	0.983
40.0	1	0.9955
40.0	2	0.9957
40.0	3	0.9957
40.0	4	0.9957
